city_name,country_code,region,population,upd_date,lat,lon
Idku,EG,Africa/Cairo,210678,2018-04-21,31.307301,30.2981
Idfu,EG,Africa/Cairo,133000,2020-06-11,24.97916,32.87722
Halwan,EG,Africa/Cairo,230000,2020-06-11,29.84144,31.30084
Disuq,EG,Africa/Cairo,102037,2020-06-11,31.132589,30.64784
Dikirnis,EG,Africa/Cairo,137542,2013-07-06,31.08898,31.59478
Damanhur,EG,Africa/Cairo,227943,2020-06-11,31.034081,30.468229
Port Said,EG,Africa/Cairo,538378,2019-10-28,31.26531,32.301899
Bilqas,EG,Africa/Cairo,103596,2013-06-05,31.21452,31.357981
Bilbays,EG,Africa/Cairo,129211,2012-01-19,30.420389,31.562229
Bani Suwayf,EG,Africa/Cairo,189624,2020-06-11,29.074409,31.097851
Banha,EG,Africa/Cairo,167029,2020-06-11,30.45977,31.1842
Zagazig,EG,Africa/Cairo,285097,2020-06-11,30.587681,31.502001
Asyut,EG,Africa/Cairo,420585,2020-06-11,27.18096,31.18368
Aswan,EG,Africa/Cairo,241261,2019-09-05,24.09082,32.899422
Suez,EG,Africa/Cairo,488125,2013-12-01,29.973709,32.526272
Luxor,EG,Africa/Cairo,422407,2019-09-05,25.698931,32.642101
Cairo,EG,Africa/Cairo,7734614,2020-05-28,30.06263,31.24967
Al Minya,EG,Africa/Cairo,227150,2020-06-11,28.09193,30.758129
Al Mansurah,EG,Africa/Cairo,420195,2020-06-11,31.036369,31.38069
Al Mahallah al Kubra,EG,Africa/Cairo,431052,2020-06-11,30.970631,31.166901
Giza,EG,Africa/Cairo,2443203,2019-10-10,30.009439,31.208611
Ismailia,EG,Africa/Cairo,284813,2019-09-05,30.604271,32.272251
Alexandria,EG,Africa/Cairo,3811516,2019-09-05,31.201759,29.915819
Al Hawamidiyah,EG,Africa/Cairo,106841,2020-06-11,29.9,31.25
Al Fayyum,EG,Africa/Cairo,306393,2020-06-11,29.30995,30.841801
Arish,EG,Africa/Cairo,128855,2017-11-10,31.13159,33.798439
Abu Kabir,EG,Africa/Cairo,100684,2012-01-19,30.72508,31.67148
New Cairo,EG,Africa/Cairo,200000,2017-12-06,30.030001,31.469999
Laayoune,EH,Africa/El_Aaiun,196331,2016-11-23,27.1418,-13.18797
Asmara,ER,Africa/Asmara,563930,2021-03-10,15.33805,38.931839
Valencia,ES,Europe/Madrid,814208,2019-09-05,39.469749,-.37739
Torrevieja,ES,Europe/Madrid,101792,2019-02-27,37.978722,-.68221998
Telde,ES,Atlantic/Canary,100015,2012-03-04,27.99243,-15.41915
Sevilla,ES,Europe/Madrid,703206,2019-09-05,37.382832,-5.9731698
Santa Cruz de Tenerife,ES,Atlantic/Canary,222417,2019-09-05,28.468241,-16.25462
La Laguna,ES,Atlantic/Canary,150661,2019-02-27,28.4853,-16.320141
Palma,ES,Europe/Madrid,401270,2018-08-27,39.569389,2.6502399
Murcia,ES,Europe/Madrid,436870,2013-03-18,37.987041,-1.13004
Marbella,ES,Europe/Madrid,134623,2019-09-05,36.51543,-4.8858299
Malaga,ES,Europe/Madrid,568305,2020-08-30,36.720161,-4.4203401
Las Palmas de Gran Canaria,ES,Atlantic/Canary,381847,2021-08-03,28.09973,-15.41343
Jerez de la Frontera,ES,Europe/Madrid,207532,2019-09-05,36.686451,-6.1360602
Jaen,ES,Europe/Madrid,116557,2012-12-15,37.769218,-3.7902801
Huelva,ES,Europe/Madrid,148806,2018-04-25,37.26638,-6.9400401
Granada,ES,Europe/Madrid,234325,2019-09-05,37.188171,-3.6066699
Elche,ES,Europe/Madrid,230112,2012-03-04,38.26218,-.70107001
Dos Hermanas,ES,Europe/Madrid,122943,2018-06-08,37.282871,-5.9208798
Cordoba,ES,Europe/Madrid,328428,2020-06-11,37.891548,-4.7727499
Castello de la Plana,ES,Europe/Madrid,180005,2020-10-14,39.985668,-.049350001
Cartagena,ES,Europe/Madrid,211996,2019-09-05,37.605122,-.98623002
Cadiz,ES,Europe/Madrid,126766,2017-05-23,36.526718,-6.2891002
Badajoz,ES,Europe/Madrid,148334,2019-03-29,38.877892,-6.9706101
Almeria,ES,Europe/Madrid,188810,2019-09-16,36.838139,-2.4597399
Alicante,ES,Europe/Madrid,334757,2019-09-05,38.345169,-.48148999
Algeciras,ES,Europe/Madrid,116209,2016-02-12,36.133259,-5.45051
Albacete,ES,Europe/Madrid,169716,2020-05-15,38.99424,-1.8564301
Zaragoza,ES,Europe/Madrid,674317,2021-08-08,41.656059,-.87734002
Gasteiz / Vitoria,ES,Europe/Madrid,235661,2018-01-01,42.849979,-2.6726799
Villaverde,ES,Europe/Madrid,126802,2017-05-26,40.349998,-3.7
Vigo,ES,Europe/Madrid,297332,2019-09-05,42.232819,-8.72264
Valladolid,ES,Europe/Madrid,317864,2019-09-05,41.655182,-4.7237201
Torrejon de Ardoz,ES,Europe/Madrid,118162,2014-11-10,40.455349,-3.4697299
Tetuan de las Victorias,ES,Europe/Madrid,155000,2017-05-26,40.459751,-3.6975
Terrassa,ES,Europe/Madrid,210941,2018-03-09,41.566669,2.01667
Tarragona,ES,Europe/Madrid,140323,2010-08-23,41.116669,1.25
Santander,ES,Europe/Madrid,182700,2019-09-05,43.464722,-3.80444
Santa Coloma de Gramenet,ES,Europe/Madrid,119717,2018-06-08,41.451519,2.2081001
San Sebastian,ES,Europe/Madrid,185357,2020-03-18,43.312832,-1.97499
Sant Andreu,ES,Europe/Madrid,147732,2017-05-26,41.43541,2.1898201
Salamanca,ES,Europe/Madrid,155619,2018-03-09,40.968819,-5.6638799
Sabadell,ES,Europe/Madrid,206493,2018-03-09,41.543289,2.1094201
Reus,ES,Europe/Madrid,107118,2018-03-09,41.15612,1.1068701
Puente de Vallecas,ES,Europe/Madrid,244151,2017-05-26,40.393539,-3.6619999
Parla,ES,Europe/Madrid,115611,2014-11-17,40.236038,-3.76752
Pamplona,ES,Europe/Madrid,198491,2019-09-05,42.816872,-1.64323
Oviedo,ES,Europe/Madrid,224005,2019-09-05,43.360291,-5.8447599
Ourense,ES,Europe/Madrid,107742,2013-07-22,42.336689,-7.8640699
Mostoles,ES,Europe/Madrid,206478,2019-09-05,40.322338,-3.86496
Moratalaz,ES,Europe/Madrid,104923,2017-05-26,40.407421,-3.6493499
Mataro,ES,Europe/Madrid,121722,2012-03-04,41.54211,2.4445
